venta_id,cliente_id,paciente_id,producto,cantidad,fecha_venta
326,3,805,Movement,3,2022-10-27
327,486,940,Shoulder,4,2025-03-13
328,306,786,Bad,4,2025-07-22
329,354,452,Only,3,2023-03-20
330,94,944,Billion,1,2024-07-30
331,130,483,Police,5,2023-01-01
332,371,485,Chair,4,2025-07-18
333,280,570,Mission,3,2024-09-01
334,281,55,Part,1,2023-09-23
335,405,388,Watch,1,2024-12-11
336,277,434,Choose,3,2024-04-26
337,413,990,Four,1,2022-10-08
338,25,117,Especially,3,2024-10-19
339,437,560,Sort,4,2024-05-21
340,349,212,Eat,4,2024-10-18
341,244,689,Good,4,2025-06-17
342,39,189,Consumer,2,2023-06-24
343,190,374,Author,1,2025-04-04
344,314,197,Play,1,2025-01-16
345,298,44,Gun,3,2022-12-04
346,239,971,Wall,4,2023-08-24
347,136,774,Account,4,2024-04-05
348,369,280,According,4,2022-12-15
349,229,181,Woman,4,2024-03-01
350,486,776,Whether,5,2022-12-19
351,39,994,Play,5,2023-12-18
352,462,301,Develop,2,2025-08-23
353,130,67,Enough,1,2024-05-31
354,346,959,Toward,4,2025-01-30
355,18,29,People,3,2023-08-08
356,282,711,Drop,5,2024-06-25
357,445,921,And,1,2025-04-07
358,25,971,Water,2,2023-01-03
359,164,887,Would,1,2022-09-30
360,451,980,Future,4,2024-01-15
361,444,322,Serve,4,2023-12-11
362,475,724,Over,2,2025-03-12
363,56,395,Word,3,2022-12-23
364,483,76,Service,3,2025-07-15
365,434,726,Both,5,2025-08-24
366,344,662,Laugh,5,2024-11-30
367,371,329,Everybody,4,2024-10-27
368,181,863,Others,4,2024-09-22
369,386,584,Job,5,2023-12-10
370,218,554,Red,5,2025-02-12
371,389,666,Time,1,2022-11-19
372,413,119,Message,3,2022-10-09
373,341,156,Day,4,2023-08-20
374,316,210,Difficult,3,2024-08-14
375,492,221,Tree,4,2024-01-25
376,405,756,Art,1,2023-01-23
377,50,514,Then,1,2025-09-08
378,376,922,Protect,4,2023-03-06
379,247,762,Risk,4,2024-11-05
380,145,889,Develop,3,2023-12-09
381,150,926,Bring,1,2023-03-17
382,340,258,Minute,2,2025-01-20
383,306,472,Give,4,2022-11-18
384,224,584,While,3,2024-08-03
385,251,680,Sister,3,2023-08-20
386,291,51,Policy,3,2024-06-03
387,125,749,Ready,2,2023-12-16
388,159,318,Create,1,2025-07-07
389,396,878,Smile,4,2025-07-19
390,126,657,However,2,2025-05-14
391,492,543,Else,2,2024-02-07
392,268,190,Yard,2,2024-04-13
393,308,957,Method,2,2022-11-24
394,26,176,To,4,2024-05-22
395,488,569,Choice,4,2023-10-06
396,204,922,Specific,1,2024-12-23
397,391,965,Action,2,2022-10-25
398,20,501,Western,5,2022-11-03
399,340,732,Still,1,2025-03-28
400,250,279,Interview,3,2022-11-14
401,32,943,To,1,2024-03-15
402,215,810,Require,2,2023-11-19
403,120,875,Six,3,2024-12-01
404,90,710,Station,2,2023-03-24
405,186,98,Family,5,2023-08-15
406,43,908,Without,4,2025-06-01
407,398,228,Read,5,2023-05-10
408,325,10,Whether,1,2023-07-31
409,447,185,Above,3,2024-02-28
410,403,822,Ask,2,2025-05-11
411,252,636,Carry,2,2025-02-04
412,284,397,About,4,2023-04-20
413,421,667,Myself,2,2024-01-03
414,70,953,Down,5,2023-11-13
415,40,144,Character,4,2023-07-07
416,469,818,Last,3,2025-08-10
417,59,962,Bar,3,2023-12-24
418,383,69,Just,5,2024-02-28
419,421,995,Television,5,2023-03-26
420,276,278,Expect,4,2024-06-07
421,185,807,Child,5,2025-04-23
422,44,122,Once,1,2023-07-10
423,337,263,Report,4,2023-04-04
424,271,411,Single,1,2022-12-25
425,235,677,Each,5,2023-01-19
426,182,703,Risk,2,2023-06-04
427,330,960,If,3,2024-09-17
428,398,628,Why,1,2023-05-12
429,17,200,Race,3,2025-09-08
430,250,352,Voice,2,2024-07-20
431,155,819,Two,2,2022-10-03
432,267,92,For,3,2025-04-03
433,116,230,Road,4,2024-08-02
434,490,512,Per,2,2022-12-10
435,30,322,Speech,2,2023-01-09
436,266,491,Citizen,4,2024-03-11
437,195,578,Show,5,2023-06-08
438,441,434,Natural,2,2025-03-05
439,453,444,As,5,2024-03-11
440,161,362,Through,5,2025-08-14
441,479,526,Probably,5,2023-07-19
442,315,609,Western,1,2024-06-06
443,460,841,Necessary,2,2025-01-17
444,52,296,Step,2,2024-12-24
445,68,192,Want,5,2024-04-10
446,213,449,Chair,3,2024-02-16
447,385,203,Director,4,2025-05-16
448,41,676,Majority,2,2023-03-02
449,477,566,Score,4,2025-03-20
450,27,112,Yourself,2,2023-12-28
451,427,398,For,5,2023-06-23
452,426,154,Security,3,2024-03-13
453,216,764,Agreement,3,2023-02-25
454,350,981,Upon,5,2024-05-29
455,467,879,Suddenly,1,2024-05-20
456,112,569,Man,5,2024-04-22
457,414,297,Indicate,4,2022-09-29
458,457,956,Support,3,2025-05-03
459,138,944,Brother,5,2025-01-30
460,258,274,Able,4,2025-02-05
461,460,400,Dream,2,2024-11-27
462,126,617,See,2,2024-08-19
463,104,390,Prevent,2,2023-12-16
464,311,571,Mrs,5,2023-06-23
465,477,322,Certainly,3,2024-07-06
466,40,739,Decision,1,2024-04-04
467,246,20,Food,3,2023-03-16
468,202,768,Say,5,2023-08-14
469,377,272,Include,2,2025-08-01
470,29,886,Individual,4,2023-08-31
471,222,272,Fine,3,2023-10-30
472,213,399,Team,4,2025-08-27
473,431,589,Attack,3,2024-07-23
474,64,102,Truth,3,2025-06-22
475,129,491,Fight,3,2024-02-18
476,270,747,Firm,1,2024-05-22
477,498,975,System,4,2023-10-02
478,12,617,Past,1,2024-08-24
479,115,31,Movement,2,2025-06-25
480,18,709,Response,4,2024-09-09
481,370,893,National,4,2023-09-23
482,78,616,Create,1,2025-01-26
483,11,529,Account,1,2025-06-24
484,133,800,Player,1,2024-10-03
485,365,754,Figure,5,2023-05-17
486,118,790,Author,4,2023-09-10
487,141,150,Rise,5,2025-01-10
488,474,245,Economy,1,2025-03-23
489,475,329,Five,3,2024-04-13
490,106,50,Maybe,2,2022-11-09
491,320,321,Attention,5,2025-08-19
492,174,939,Court,4,2023-09-03
493,108,270,War,2,2022-11-25
494,149,20,Push,5,2023-09-28
495,401,271,Activity,2,2024-09-17
496,395,405,Help,1,2023-08-06
497,211,95,Between,1,2024-02-03
498,17,903,Test,4,2022-12-09
499,413,500,Worry,3,2023-05-22
500,167,836,Address,3,2025-05-10
501,342,204,Second,3,2022-10-22
502,335,389,Surface,3,2024-12-18
503,261,126,Along,5,2024-07-08
504,429,33,Suggest,3,2023-03-06
505,208,864,Shoulder,3,2024-11-13
506,184,277,Continue,5,2024-07-01
507,218,9,Minute,5,2023-05-04
508,207,147,Sign,5,2024-04-07
509,313,78,Star,4,2025-03-26
510,192,918,Air,4,2023-03-03
511,382,695,Edge,1,2025-06-26
512,324,663,Minute,5,2025-03-25
513,310,961,Carry,1,2024-02-02
514,286,317,Political,4,2023-07-20
515,467,926,Tend,5,2023-10-29
516,295,634,Without,3,2022-11-15
517,454,23,Draw,4,2023-08-30
518,40,997,Southern,5,2025-04-04
519,376,218,Huge,4,2024-03-05
520,13,232,Believe,5,2025-02-15
521,225,636,Thank,3,2024-05-12
522,171,435,Nice,4,2023-09-18
523,117,799,Campaign,4,2023-01-19
524,15,95,Feeling,2,2024-10-09
525,109,231,Hour,1,2023-07-04
526,154,557,Natural,4,2023-03-24
527,141,2,Manager,2,2024-09-11
528,355,680,Show,5,2024-06-08
529,111,6,Start,4,2025-07-27
530,41,750,History,3,2023-07-08
531,389,109,Population,4,2023-03-11
532,49,62,Far,1,2023-11-29
533,315,376,Drug,4,2025-03-17
534,402,11,First,4,2024-07-03
535,230,199,Human,3,2025-05-24
536,344,208,Personal,2,2025-01-20
537,220,727,Kitchen,2,2025-08-02
538,315,250,Charge,2,2024-04-14
539,23,442,Well,4,2023-09-13
540,13,260,Herself,4,2024-09-01
541,257,264,Type,2,2025-08-07
542,71,202,Stock,1,2024-02-16
543,407,521,Country,2,2023-06-18
544,300,1000,Employee,1,2022-12-26
545,143,278,Take,1,2023-08-22
546,246,172,Magazine,3,2024-01-05
547,264,309,Call,5,2023-01-22
548,9,390,Work,4,2023-12-31
549,382,980,Such,1,2023-09-23
550,75,766,Whom,1,2025-04-06
551,153,850,Message,2,2025-01-25
552,299,174,Must,4,2024-07-22
553,347,262,Less,2,2023-05-28
554,263,972,Anyone,1,2024-03-13
555,407,136,Road,1,2024-10-23
556,320,748,Step,5,2024-10-04
557,413,293,Future,4,2024-06-24
558,261,148,Analysis,5,2024-09-11
559,422,384,Station,3,2023-12-06
560,459,608,Would,1,2023-09-24
561,147,789,Lead,2,2024-03-30
562,258,936,From,3,2025-07-10
563,81,700,Cold,4,2024-12-27
564,135,998,Cultural,1,2023-04-29
565,195,366,Pm,3,2024-02-12
566,41,763,Adult,2,2025-01-28
567,464,362,Newspaper,4,2024-08-18
568,248,304,Bank,3,2025-07-13
569,411,873,Admit,4,2024-07-20
570,36,220,Deal,2,2023-12-05
571,316,298,Address,5,2023-09-30
572,86,391,Prevent,2,2023-04-01
573,129,269,Board,2,2025-03-08
574,212,546,Research,2,2022-11-20
575,378,491,Likely,4,2023-05-14
576,447,45,Police,2,2025-05-12
577,257,183,Child,1,2023-05-12
578,95,397,Foot,2,2024-07-26
579,368,819,Phone,5,2023-11-23
580,321,909,Window,4,2023-11-23
581,372,408,Strong,3,2025-01-19
582,382,170,Claim,5,2023-08-09
583,79,381,Face,4,2023-07-08
584,383,811,Do,5,2023-08-09
585,168,489,Concern,5,2023-12-08
586,418,17,Discover,1,2024-05-10
587,340,985,General,3,2024-03-22
588,300,392,Experience,1,2023-02-16
589,325,526,Bank,3,2025-09-03
590,93,208,Cultural,1,2023-10-24
591,110,191,Network,2,2023-12-06
592,33,310,Walk,1,2023-06-10
593,308,664,Great,4,2023-08-18
594,182,654,Site,2,2023-02-18
595,466,931,Language,4,2025-04-26
596,424,159,Green,3,2023-01-31
597,177,161,Her,5,2023-10-28
598,108,416,Bad,3,2023-02-24
599,357,557,Doctor,2,2024-06-28
600,176,940,Receive,2,2025-04-06
601,4,127,Direction,1,2023-03-22
602,240,819,Current,1,2023-04-13
603,196,988,Campaign,1,2024-10-26
604,61,497,All,5,2025-06-10
605,308,782,Loss,3,2024-03-23
606,30,477,Data,1,2025-02-14
607,323,829,Interview,3,2025-02-18
608,106,81,Difficult,2,2025-01-26
609,406,870,Role,2,2022-12-29
610,440,888,Evening,2,2023-11-14
611,390,445,Use,5,2023-04-20
612,219,519,Claim,4,2025-08-25
613,62,373,Reach,5,2023-05-20
614,269,164,Type,5,2024-03-06
615,252,916,Civil,5,2023-01-03
616,172,269,Reflect,3,2025-03-25
617,231,394,Near,5,2025-04-16
618,122,799,I,4,2024-04-27
619,43,288,Lose,3,2024-05-11
620,101,61,Rise,5,2024-07-08
621,476,294,Story,4,2022-11-09
622,217,990,Issue,1,2025-04-01
623,461,44,Forget,3,2025-06-03
624,17,758,Stop,5,2025-08-25
625,134,976,Success,5,2024-06-06
626,309,91,Choice,3,2023-12-18
627,362,997,Like,5,2025-06-08
628,299,984,Medical,1,2023-09-14
629,182,434,Decade,5,2023-06-14
630,361,716,Way,2,2024-07-26
631,273,235,Value,3,2025-06-23
632,345,117,Owner,2,2025-01-18
633,180,495,Address,5,2022-10-14
634,363,450,Win,1,2022-10-28
635,52,737,Perform,5,2024-11-30
636,25,334,Continue,3,2024-05-29
637,385,815,Speech,2,2022-12-24
638,298,481,Before,3,2022-09-18
639,54,749,Pretty,4,2023-02-09
640,30,206,Oil,5,2025-05-16
641,494,750,Rock,1,2024-10-10
642,147,749,Program,3,2024-06-08
643,33,231,Carry,1,2024-03-17
644,10,877,Pick,1,2024-12-09
645,65,794,What,2,2024-07-28
646,378,952,Agreement,2,2024-09-30
647,371,113,Pressure,5,2025-08-07
648,353,874,Language,2,2024-02-03
649,241,149,Station,2,2022-11-12
650,200,493,Success,3,2023-02-22
651,68,369,Development,4,2022-10-14
652,359,377,Huge,5,2023-09-03
653,387,791,Remain,4,2024-04-24
654,199,556,Color,4,2025-03-24
655,195,865,Hair,3,2023-06-16
656,144,757,Capital,5,2025-05-14
657,138,271,I,2,2023-01-25
658,341,469,Stage,4,2022-10-05
659,463,719,Page,2,2023-03-06
660,266,475,Door,5,2025-06-12
661,151,98,Evening,2,2024-07-24
662,120,521,Region,4,2025-07-02
663,12,691,Difference,4,2024-03-08
664,114,790,Design,3,2023-11-08
665,133,419,Entire,1,2024-01-30
666,408,645,Director,5,2024-04-04
667,363,678,Sense,5,2023-01-21
668,11,254,Think,3,2023-06-18
669,500,138,Bank,2,2025-01-29
670,435,913,Will,2,2023-03-08
671,436,104,Tough,5,2023-06-27
672,360,265,Collection,2,2024-06-11
673,354,927,One,5,2024-11-05
674,455,518,Later,5,2023-08-10
675,311,559,Fight,5,2025-04-10
676,403,188,Skill,2,2023-07-11
677,263,358,Gun,2,2024-01-05
678,223,399,Music,4,2022-10-06
679,401,654,Image,4,2024-11-30
680,260,610,Work,5,2023-11-04
681,235,809,It,3,2025-05-04
682,41,170,Add,5,2024-06-04
683,247,558,Real,4,2024-10-06
684,199,343,Early,5,2025-01-01
685,499,12,Including,5,2024-03-19
686,184,652,Moment,5,2024-07-03
687,423,397,Use,1,2025-02-05
688,96,257,Since,5,2023-10-11
689,411,141,Voice,4,2023-11-21
690,479,476,Within,2,2023-07-29
691,231,695,Impact,3,2023-01-07
692,109,289,Window,1,2023-10-17
693,248,168,Though,5,2024-01-30
694,251,869,Per,5,2023-09-19
695,430,930,Open,2,2024-10-06
696,301,111,Gun,4,2025-07-17
697,95,395,Hold,4,2023-06-25
698,65,997,Deal,1,2024-07-09
699,7,992,Represent,4,2023-06-07
700,470,898,North,1,2023-03-22
701,185,119,None,4,2025-01-24
702,245,4,Simple,3,2023-12-31
703,447,415,Wonder,4,2024-03-06
704,279,425,Issue,2,2024-02-11
705,167,779,Tax,3,2023-08-23
706,496,731,Congress,4,2023-05-16
707,449,794,Line,5,2024-04-21
708,497,719,Feel,3,2025-05-09
709,361,174,Age,1,2022-10-22
710,373,55,Different,1,2023-12-28
711,478,848,Follow,3,2023-02-25
712,358,586,Maintain,4,2025-09-01
713,256,237,Deep,1,2023-06-15
714,126,181,Southern,2,2025-04-28
715,372,11,Agree,1,2023-10-17
716,118,489,College,4,2024-03-10
717,317,494,Expert,5,2025-04-10
718,199,75,Claim,4,2024-04-19
719,95,681,Source,2,2025-01-24
720,177,644,Each,4,2024-11-01
721,333,688,Blue,3,2023-04-22
722,99,13,Pressure,2,2024-12-28
723,426,180,Miss,5,2023-01-28
724,300,903,Change,3,2025-07-07
725,345,299,Left,2,2023-12-21
726,335,806,Food,2,2023-12-04
727,168,303,Scene,4,2024-07-02
728,363,927,Away,4,2022-09-21
729,311,251,History,2,2025-05-30
730,235,235,Well,4,2024-10-10
731,262,138,Minute,3,2024-07-04
732,327,553,Wall,5,2024-05-25
733,230,556,Couple,5,2023-09-14
734,66,187,Personal,5,2022-11-22
735,475,195,Space,4,2024-10-23
736,65,495,Every,2,2024-10-04
737,23,930,Stay,3,2025-05-13
738,20,69,Wish,2,2025-02-18
739,453,556,Other,5,2024-09-08
740,265,873,Provide,5,2023-04-20
741,389,719,City,4,2025-07-21
742,394,592,Happen,2,2023-05-13
743,397,182,Them,2,2023-11-10
744,41,115,Hot,1,2024-01-30
745,268,872,Nearly,3,2024-10-15
746,167,790,Throw,4,2023-02-24
747,68,951,Listen,2,2024-07-07
748,177,602,Most,3,2024-02-23
749,92,573,Argue,4,2023-07-06
750,236,810,Often,1,2025-06-17
751,433,441,Site,5,2024-06-17
